"","V1","V2","V3","lat","lon"
"11935","S2 Analytical Solutions","Cost Estimator/Analyst","Lorton, VA ",38.692865,-77.204031
"11936","The Tauri Group","Senior Data Analyst","Alexandria, VA",38.80484,-77.04692
"11937","Booz Allen Hamilton","Data Ingest & ETL Specialist, Senior","Chantilly, VA ",38.88668,-77.44566
"11938","CGI","Data Scientist/ Analyst / Statistician","Fairfax, VA",38.83469,-77.27622
"11939","AT&T","Data Analyst II","Oakton, VA",38.892796,-77.329906
"11940","Lidl","Purchasing Analyst","Arlington, VA",37.283482,-77.294978
"11941","AHC Inc. of Arlington, VA","Digital Data Specialist","Arlington, VA",37.283482,-77.294978
"11942","Salient CRGT","Data Warehouse Analyst/Tester","Fairfax, VA",38.83469,-77.27622
"11943","University of Virginia Health System","Epilepsy Monitoring Unit Monitor Technician 6 Central (wage...","Charlottesville, VA",38.087663,-78.556765
"11944","Nationwide IT Services, Inc.","Database Analyst","Alexandria, VA",38.80484,-77.04692
"11945","Pathways","Billing Coordinator","Fredericksburg, VA",38.313488,-77.403848
"11946","Capital One","Sr. Data Analyst","Richmond, VA",37.626617,-77.492834
"11947","Information Innovators Inc.","Business Development Analyst","Springfield, VA",38.704562,-78.446119
"11948","Applied Memetics LLC","Functional Analyst, Junior","Fairfax, VA",38.83469,-77.27622
"11949","AECOM","Documentation Specialist 2","Norfolk, VA",36.895911,-76.208521
"11950","IPT Associates","Junior Analyst","Falls Church, VA ",38.862044,-77.154372
"11951","CACI International Inc","DSS - QUALITY ASSURANCE SPECIALIST - INTERMEDIATE Job","Quantico, VA",38.52602,-77.322803
"11952","Dollar Tree","IMPORT LOGISTICS ANALYST","Chesapeake, VA  ",36.749991,-76.218759
"11953","CGI","Data Scientist/ Analyst / Statistician","Fairfax, VA",38.83469,-77.27622
"11954","AT&T","Data Analyst II","Oakton, VA",38.892796,-77.329906
"11955","Lidl","Purchasing Analyst","Arlington, VA",37.283482,-77.294978
"11956","AHC Inc. of Arlington, VA","Digital Data Specialist","Arlington, VA",37.283482,-77.294978
"11957","Salient CRGT","Data Warehouse Analyst/Tester","Fairfax, VA",38.83469,-77.27622
"11958","Vadata, Inc","Procurement Manager-Data Center Global Services (DCGS)","Herndon, VA",38.983887,-77.367457
"11959","PRA Health Sciences","CRA - Multi-Therapeutic - VA - DC","Virginia",NA,NA
"11960","FIS","Business Analyst","McLean, VA",38.935202,-77.18672
"11961","K12","Intern- Operations","Herndon, VA",38.983887,-77.367457
"11962","Facility Engineering Associates","Facility Management Intern","Fairfax, VA",38.83469,-77.27622
"11963","VCU Health System","Data Security-Spec","Richmond, VA",37.626617,-77.492834
"11964","Alere","Operations Data Analyst","Richmond, VA",37.626617,-77.492834
"11965","The Goal Inc.","INFOSEC Analyst","Sterling, VA",39.085309,-77.645224
"11966","Brillient Corp","Business Development Support Analyst","Reston, VA ",38.96146,-77.3418
"11967","Hobsons","Implementation Specialist","Arlington, VA",37.283482,-77.294978
"11968","CGI","Data Scientist/ Analyst / Statistician","Fairfax, VA",38.83469,-77.27622
"11969","AT&T","Data Analyst II","Oakton, VA",38.892796,-77.329906
"11970","Lidl","Purchasing Analyst","Arlington, VA",37.283482,-77.294978
"11971","AHC Inc. of Arlington, VA","Digital Data Specialist","Arlington, VA",37.283482,-77.294978
"11972","Salient CRGT","Data Warehouse Analyst/Tester","Fairfax, VA",38.83469,-77.27622
"11973","Brauns International","Paid Summer Internship Administrative Assistant","Ashburn, VA ",39.085309,-77.645224
"11974","Dynamis","Administrative Clerk (TSA/CRL)","Arlington, VA  ",37.283482,-77.294978
"11975","GBP Financial Solutions","PR0015SA - Technical Data Analyst - Chester, VA - 03/15/2016","Chester, VA",37.320744,-77.454311
